date,platform,sku_id,product_name,sku_type,core_products,units_sold,gross_sales,avg_gross_per_unit,net_gross_sales,avg_net_gross_per_unit
2024-05-16,TikTok,1729462219517629210,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,6,0,0,0,0
2024-05-17,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,290,6316.84,21.78,5797.1,19.99
2024-05-18,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,50,1039.48,20.79,999.5,19.99
2024-05-18,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,264,5717.14,21.66,5277.36,19.99
2024-05-19,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,285,6176.91,21.67,5697.15,19.99
2024-05-20,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,236,5597.2,23.72,4717.64,19.99
2024-05-21,TikTok,1729462219517629210,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,8,0,0,0,0
2024-05-21,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,529,11434.28,21.61,9912.29,18.74
2024-05-22,TikTok,1729462219517629210,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,5,0,0,0,0
2024-05-22,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,480,10334.83,21.53,9092.34,18.94
2024-05-23,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,509,10574.71,20.78,9445.03,18.56
2024-05-24,TikTok,1729462219517629210,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,9,0,0,0,0
2024-05-24,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,1435,30564.71,21.3,23645.18,16.48
2024-05-25,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,2031,43278.35,21.31,33557.69,16.52
2024-05-26,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,2154,46316.83,21.5,35551.97,16.51
2024-05-27,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,2423,52313.83,21.59,39998.28,16.51
2024-05-28,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,1278,27266.36,21.34,25547.22,19.99
2024-05-29,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,1875,40479.75,21.59,32423.31,17.29
2024-05-30,TikTok,1729462219517629210,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,6,0,0,0,0
2024-05-30,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,3471,73463.25,21.16,58915.12,16.97
2024-05-31,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,3166,67106.43,21.2,53660.45,16.95
2024-06-01,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,3010,65407.28,21.73,51172.9,17
2024-06-02,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,1653,35262.36,21.33,28059.49,16.97
2024-06-03,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,1,19.99,19.99,16.99,16.99
2024-06-04,TikTok,1729462219517629210,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,2,0,0,0,0
2024-06-04,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,4438,95512.22,21.52,67434.69,15.19
2024-06-05,TikTok,1729462219517629210,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,1,0,0,0,0
2024-06-05,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,6038,130494.72,21.61,91834.98,15.21
2024-06-06,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,9349,198320.79,21.21,141337.9,15.12
2024-06-07,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,1,19.99,19.99,15,15
2024-06-08,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,3,59.97,19.99,45,15
2024-06-10,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,4048,88075.94,21.76,68778.55,16.99
2024-06-11,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,3949,84577.69,21.42,66913.63,16.94
2024-06-12,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,4648,97931.01,21.07,78781.65,16.95
2024-06-13,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,3817,78880.54,20.67,64794.87,16.98
2024-06-14,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,5879,121499.22,20.67,99827.27,16.98
2024-06-15,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,14,299.85,21.42,237.86,16.99
2024-06-16,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,6,119.94,19.99,101.94,16.99
2024-06-17,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,3102,64807.58,20.89,52726.98,17
2024-06-18,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,4867,100469.74,20.64,82482.47,16.95
2024-06-19,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,4562,94152.9,20.64,77437.45,16.97
2024-06-20,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,4118,86136.91,20.92,69940.85,16.98
2024-06-21,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,5474,113063.44,20.65,93031.27,17
2024-06-22,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,5512,113883.03,20.66,93687.88,17
2024-06-23,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,3443,71244.36,20.69,58474.59,16.98
2024-06-24,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,47,979.51,20.84,798.53,16.99
2024-06-25,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,4279,88675.64,20.72,72634.27,16.97
2024-06-26,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,6075,126496.72,20.82,103220.28,16.99
2024-06-27,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,5431,113163.39,20.84,92270.73,16.99
2024-06-28,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,5006,104067.94,20.79,84915.04,16.96
2024-06-29,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,4399,91154.4,20.72,74698.05,16.98
2024-06-30,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,4772,100329.81,21.02,80888.41,16.95
2024-07-01,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,3297,68385.79,20.74,55748.2,16.91
2024-07-02,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,2910,60489.74,20.79,49134.1,16.88
2024-07-03,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,2551,54552.71,21.38,43178.6,16.93
2024-07-04,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,2643,55972,21.18,44872.61,16.98
2024-07-05,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,5260,109085.43,20.74,89642.48,17.04
2024-07-06,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,core,Birria Bomb 2-Pack,4292,89695.13,20.9,73152.08,17.04
